Id,Route,Group,Length
904,Canopyglidean route,searoutes,50722 km
903,Heartan water way,searoutes,24339 km
952,Silrotlash route,searoutes,21779 km
1133,Scutabibus route,searoutes,20431 km
970,Unnamed route,searoutes,15941 km
905,Grumphog route,searoutes,14468 km
15,Crystaldusk road,roads,12406 km
3,Ghost road,roads,9318 km
1135,Scutan route,searoutes,9307 km
930,Duskmistmarean route,searoutes,9025 km
1074,Enigma route,searoutes,8619 km
945,The Sacred Star water way,searoutes,8295 km
906,The Obscure Halcyon route,searoutes,8071 km
38,Ancient way,roads,8025 km
1107,Aumiluleanx route,searoutes,7196 km
0,Radiant road,roads,6870 km
1044,Astrex passage,searoutes,6869 km
6,Silvered way,roads,6723 km
1149,Astrean route,searoutes,6473 km
1155,Gronkogan lane,searoutes,6207 km
389,Shadownest track,trails,6074 km
1145,Unnamed route,searoutes,5974 km
20,Iron road,roads,5835 km
1102,Raven lane,searoutes,5774 km
328,Grunkulese trail,trails,5765 km
723,Ceraphrian path,trails,5645 km
963,Heartshroury route,searoutes,5361 km
958,Canopyfopys route,searoutes,5171 km
1084,The Echoing High lane,searoutes,5004 km
1162,Royal lane,searoutes,4889 km
8,The Shaky Iron way,roads,4742 km
354,Unnamed route,trails,4738 km
954,The Rustic Luminous route,searoutes,4716 km
13,Thunder route,roads,4679 km
607,Gronguran track,trails,4667 km
1200,Scutaindest route,searoutes,4587 km
1040,Unnamed route,searoutes,4530 km
1112,Sable lane,searoutes,4496 km
272,Snowtglikean trail,trails,4413 km
339,Unnamed route,trails,4203 km
947,Heartreignese lane,searoutes,4018 km
59,Heartwhisper trail,trails,3935 km
1080,Ephyxan route,searoutes,3929 km
933,Stormwhisper route,searoutes,3924 km
1087,Stormrider lane,searoutes,3797 km
1111,Thundercrest route,searoutes,3743 km
26,Wandering way,roads,3737 km
964,Scutaimutan route,searoutes,3670 km
589,Grungronese trail,trails,3595 km
1002,Aetrarax route,searoutes,3546 km
40,Nocturnan highway,roads,3537 km
785,Hearthan trail,trails,3503 km
1091,Serpent passage,searoutes,3490 km
150,Aetherwhis trail,trails,3485 km
572,Ringmashadean trail,trails,3470 km
1203,The Great Twilight route,searoutes,3469 km
1120,Ignan route,searoutes,3460 km
65,Frozen track,trails,3411 km
1058,The Cracked Ember route,searoutes,3376 km
34,Arcane road,roads,3309 km
1078,Auleluminan water way,searoutes,3289 km
1130,Unnamed route,searoutes,3281 km
1077,Astran water way,searoutes,3274 km
24,King highway,roads,3257 km
28,Silvered road,roads,3179 km
791,Heartan trail,trails,3165 km
703,Aurelian pass,trails,3113 km
1108,Wraith water way,searoutes,3112 km
1061,The Cracked Cursed lane,searoutes,3080 km
908,Glaveran route,searoutes,3049 km
643,Whirlwind track,trails,3004 km
159,Solar trail,trails,3000 km
988,Heartsheat lane,searoutes,2930 km
397,Iron trail,trails,2922 km
247,Divine trail,trails,2891 km
975,Unnamed route,searoutes,2891 km
1147,Unnamed route,searoutes,2882 km
547,Scutabian trail,trails,2870 km
450,Duskveil trail,trails,2857 km
1140,Enigma route,searoutes,2818 km
978,Rusthornese route,searoutes,2805 km
105,Grumork trail,trails,2761 km
574,The Winding Scutaimpavian trail,trails,2736 km
202,Unnamed route,trails,2714 km
957,Frostshoutbian passage,searoutes,2703 km
181,Pneuguean path,trails,2663 km
762,Serpent path,trails,2662 km
1157,Rain route,searoutes,2652 km
1138,The Echoing Frozen route,searoutes,2637 km
22,Twilight way,roads,2604 km
664,Grumork track,trails,2597 km
228,Coldthornese track,trails,2588 km
545,Blaveran trail,trails,2565 km
733,Niluleleex trail,trails,2556 km
46,Windwing trail,trails,2541 km
1,The Serpentine Monshenclaw road,roads,2539 km
998,Heartwarp lane,searoutes,2484 km
311,Frosthorn trail,trails,2467 km
960,The Cobbled Eternal passage,searoutes,2386 km
406,Madonese trail,trails,2366 km
52,Nightfury pass,trails,2361 km
1093,Asthelian route,searoutes,2350 km
27,Canopysuncean route,roads,2336 km
997,Heartwhisper lane,searoutes,2315 km
288,Stormpelt pass,trails,2310 km
141,Canopyfsong track,trails,2298 km
35,Canopywind road,roads,2286 km
953,Snowtgnomean water way,searoutes,2261 km
1075,Mephridan route,searoutes,2250 km
120,Grunt pass,trails,2247 km
1183,Ukukuilehan water way,searoutes,2203 km
149,Grungoran trail,trails,2191 km
205,Canopyleafs trail,trails,2190 km
633,The Obscure Ironspirons path,trails,2181 km
1150,Unnamed route,searoutes,2161 km
114,Scutaimuan trail,trails,2154 km
11,The Great Blodtail road,roads,2150 km
920,Canopyleafw lane,searoutes,2149 km
724,The Winding Asthean trail,trails,2149 km
1164,Noctihinarian lane,searoutes,2141 km
1064,The Serpentine Enigma route,searoutes,2140 km
1119,Storm route,searoutes,2120 km
156,Blodtailese track,trails,2117 km
976,Great lane,searoutes,2108 km
1106,Scutabibibian passage,searoutes,2106 km
711,Nocturnyx trail,trails,2097 km
750,Aethoriolan track,trails,2088 km
901,Heart passage,searoutes,2087 km
417,Madonese trail,trails,2085 km
677,Halcyon track,trails,2082 km
972,Shadowclaw route,searoutes,2073 km
845,Heartfury trail,trails,2071 km
714,Astrean trail,trails,2025 km
740,Vespean trail,trails,2015 km
233,Dradowflowran pass,trails,2013 km
916,Glomergean water way,searoutes,2010 km
1122,Lumixan route,searoutes,1999 km
501,Heartfury trail,trails,1990 km
534,Scutaimpean pass,trails,1989 km
979,Unnamed route,searoutes,1970 km
498,Boneshalean path,trails,1953 km
1073,Iron water way,searoutes,1950 km
416,Azeliondrarian pass,trails,1947 km
767,Spectral pass,trails,1945 km
760,Auraxan path,trails,1938 km
472,Duskvilean trail,trails,1935 km
350,Anmastergean track,trails,1922 km
926,Wild route,searoutes,1917 km
890,Eternal trail,trails,1904 km
1117,Blacksmith's route,searoutes,1902 km
2,The Cobbled Solar highway,roads,1895 km
469,Ineclesnap path,trails,1891 km
527,Glazegadowg track,trails,1886 km
571,Ironsoulmaw trail,trails,1881 km
555,Scutabile track,trails,1869 km
1144,Grumnok route,searoutes,1851 km
512,Arcrushan pass,trails,1848 km
581,Scutainflexian trail,trails,1840 km
37,Crystaldusk route,roads,1836 km
755,Nightstorm trail,trails,1832 km
72,Canan trail,trails,1821 km
352,Stonean trail,trails,1811 km
485,Zephonix path,trails,1776 km
322,The Obscure Snapdmer track,trails,1754 km
513,Heartpalmer trail,trails,1746 km
746,Soran trail,trails,1737 km
566,Scutainpexian trail,trails,1724 km
994,Scarlet water way,searoutes,1714 km
950,The Great Verdant lane,searoutes,1712 km
1161,Nocturnan route,searoutes,1707 km
697,Aumiluleanx trail,trails,1705 km
909,Snapdmer lane,searoutes,1704 km
392,The Silent Murksnarlese trail,trails,1694 km
768,Night track,trails,1694 km
99,Windskerwing track,trails,1692 km
940,Dusk route,searoutes,1687 km
689,Grumzug path,trails,1684 km
196,The Shrouded Duskshadow pass,trails,1684 km
1059,Twilight passage,searoutes,1673 km
1202,The Shaky Great route,searoutes,1670 km
1101,Scutaindest route,searoutes,1665 km
206,Dradowflowran trail,trails,1657 km
391,The Winding Stonean path,trails,1657 km
1160,Aereaxararan route,searoutes,1648 km
924,Canopywinds route,searoutes,1644 km
843,Heartguard pass,trails,1643 km
618,Scutainflexian trail,trails,1640 km
666,Chainfor trail,trails,1636 km
1010,Glimmering route,searoutes,1606 km
1096,Rust route,searoutes,1602 km
747,The Serpentine Cerean path,trails,1585 km
853,Eternal path,trails,1582 km
50,Dawn trail,trails,1563 km
955,Titan lane,searoutes,1562 km
1071,Eagle water way,searoutes,1560 km
951,The Shaky New route,searoutes,1558 km
359,Snowgler trail,trails,1544 km
249,Frostan track,trails,1532 km
96,Heartwhisper path,trails,1532 km
393,Ironsherpelt trail,trails,1524 km
78,Grunthorkun pass,trails,1519 km
720,The Winding Pyxan trail,trails,1517 km
109,Whisperent trail,trails,1505 km
866,Aereaxararan trail,trails,1503 km
684,Bozterenese path,trails,1502 km
1094,Everlasting lane,searoutes,1500 km
193,Murkw trail,trails,1495 km
292,Solar path,trails,1495 km
1043,Unnamed route,searoutes,1492 km
1008,Heartspirean route,searoutes,1491 km
971,Mahoonalan route,searoutes,1490 km
543,Sylvan trail,trails,1489 km
585,Scutainvian trail,trails,1477 km
382,Whirl trail,trails,1464 km
